Name,Reason,"Number of Occurrences"
"Mobile, AL: Mobile Regional",Carrier,2
"Panama City, FL: Northwest Florida Beaches International",Carrier,5
"Sioux Falls, SD: Joe Foss Field",Carrier,4
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Carrier,1
"Kalispell, MT: Glacier Park International",Carrier,1
"Asheville, NC: Asheville Regional","National Air System",8
"Charlottesville, VA: Charlottesville Albemarle","National Air System",3
"Greensboro/High Point, NC: Piedmont Triad International",Weather,5
"Hilton Head, SC: Hilton Head Airport",Weather,3
"Wilmington, NC: Wilmington International",Weather,5
"Key West, FL: Key West International",Weather,3
"Greensboro/High Point, NC: Piedmont Triad International",Carrier,5
"Islip, NY: Long Island MacArthur",Carrier,2
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,1
"Ketchikan, AK: Ketchikan International",Weather,9
"Juneau, AK: Juneau International",Weather,18
"Bethel, AK: Bethel Airport",Weather,1
"Adak Island, AK: Adak",Weather,1
"Kodiak, AK: Kodiak Airport",Weather,1
"Fresno, CA: Fresno Yosemite International",Carrier,4
"Cordova, AK: Merle K Mudhole Smith",Weather,1
"Aguadilla, PR: Rafael Hernandez",Carrier,3
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,3
"Laredo, TX: Laredo International",Weather,3
"Monroe, LA: Monroe Regional",Weather,6
"Alexandria, LA: Alexandria International",Weather,3
"Del Rio, TX: Del Rio International",Weather,1
"Longview, TX: East Texas Regional",Weather,3
"Grand Island, NE: Central Nebraska Regional",Weather,2
"Flagstaff, AZ: Flagstaff Pulliam",Weather,3
"Grand Junction, CO: Grand Junction Regional",Weather,1
"Brownsville, TX: Brownsville South Padre Island International",Weather,4
"College Station/Bryan, TX: Easterwood Field",Weather,3
"Lake Charles, LA: Lake Charles Regional",Weather,4
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,2
"Harlingen/San Benito, TX: Valley International",Weather,5
"Corpus Christi, TX: Corpus Christi International",Weather,5
"Garden City, KS: Garden City Regional",Weather,2
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Weather,6
"Killeen, TX: Robert Gray AAF",Weather,4
"Dodge City, KS: Dodge City Regional",Weather,1
"Cody, WY: Yellowstone Regional",Weather,1
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","National Air System",2
"Fort Smith, AR: Fort Smith Regional",Weather,2
"Waco, TX: Waco Regional",Weather,2
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,4
"Columbia, MO: Columbia Regional",Weather,3
"Bellingham, WA: Bellingham International",Carrier,1
"Medford, OR: Rogue Valley International - Medford",Weather,1
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,6
"Meridian, MS: Key Field",Weather,1
"Appleton, WI: Appleton International",Carrier,1
"Columbus, OH: Rickenbacker International","National Air System",2
"Missoula, MT: Missoula International",Weather,1
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,1
"CONCORD, NC: Concord Padgett Regional","National Air System",3
"Gunnison, CO: Gunnison-Crested Butte Regional",Weather,1
"Bakersfield, CA: Meadows Field",Weather,1
"Evansville, IN: Evansville Regional",Carrier,1
"Evansville, IN: Evansville Regional","National Air System",1
"Evansville, IN: Evansville Regional",Weather,1
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,6
"Gulfport/Biloxi, MS: Gulfport-Biloxi International","National Air System",2
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,1
"Appleton, WI: Appleton International",Weather,1
"Augusta, GA: Augusta Regional at Bush Field",Weather,1
"Mosinee, WI: Central Wisconsin",Carrier,1
"Champaign/Urbana, IL: University of Illinois/Willard",Weather,3
"Marquette, MI: Sawyer International",Weather,2
"Abilene, TX: Abilene Regional",Weather,2
"Mosinee, WI: Central Wisconsin",Weather,1
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,2
